universe,code,name,score,stage,strong_reason,pullback_quality,current_close,ma60,slope20_pct,distance_pct,distance_change_3d,pullback_from_high_pct,cross_date,last_cross_date,days_since_cross,held3,turnover_ratio,weekly_return_pct,foreign_week_eok,institution_week_eok,foreign_recent2_eok,institution_recent2_eok,foreign_week_value,institution_week_value,foreign_recent2_value,institution_recent2_value
KOSDAQ150,319400,현대무벡스,103.1,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,22850.0,22703.67,-15.83,0.64,6.16,0.0,2026-09-18,2026-09-18,0,N,1.85,10.39,776.8,8.0,750.5,12.3,77682065250,795776350,75047264225,1233302000
KOSDAQ150,056080,유진로봇,100.8,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,12640.0,12464.83,-15.86,1.41,4.49,0.0,2026-09-18,2026-09-18,0,N,1.62,5.95,62.5,20.8,63.6,33.2,6250529590,2078212125,6363620605,3317888335
KOSPI200,079550,LIG디펜스앤에어로스페이스,95.1,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,737000.0,725116.67,-5.31,1.64,10.15,0.0,2026-09-18,2026-09-18,0,N,1.07,5.44,389.8,221.7,412.1,136.5,38978173000,22166440500,41212540000,13648430500
KOSDAQ150,074600,원익QnC,94.3,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,28150.0,28082.5,-9.76,0.24,7.26,0.0,2026-09-18,2026-09-18,0,N,0.96,10.83,13.9,-0.3,8.8,-2.0,1394621400,-34650325,877203775,-195771975
KOSDAQ150,189300,인텔리안테크,91.6,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,68600.0,66735.83,-17.99,2.79,8.27,-1.15,2026-09-17,2026-09-17,1,N,1.39,9.76,-35.4,11.3,-19.3,5.8,-3536616400,1130026100,-1925779850,581993550
KOSPI200,010120,LS ELECTRIC,90.5,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,208500.0,202118.33,-5.9,3.16,6.57,-1.42,2026-09-17,2026-09-17,1,N,0.89,5.57,269.1,63.4,567.4,68.2,26908361000,6337976450,56740382150,6818895050
KOSDAQ150,050890,쏠리드,90.4,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,9740.0,9436.67,-13.74,3.21,11.01,0.0,2026-09-18,2026-09-18,0,N,2.54,13.12,-114.2,8.6,-6.0,3.1,-11419165665,856126230,-600853590,312113710
KOSDAQ150,166090,하나머티리얼즈,89.7,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,55400.0,54443.33,-7.6,1.76,5.76,0.0,2026-09-18,2026-09-18,0,N,0.6,10.58,-16.9,58.0,-15.2,25.5,-1687353600,5800153600,-1517070950,2554246650
KOSDAQ150,388720,유일로보틱스,88.5,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,69700.0,67130.0,-8.53,3.83,0.15,-2.24,2026-09-15,2026-09-15,3,Y,0.83,6.09,14.5,2.5,4.0,-0.4,1453543450,249833550,399139750,-42140900
KOSPI200,000660,SK하이닉스,87.5,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,1849000.0,1833816.67,-10.25,0.83,9.69,-0.38,2026-09-18,2026-09-18,0,N,1.01,9.86,-34236.7,-475.7,1112.2,2007.6,-3423672689000,-47574677500,111218712000,200759413500
KOSDAQ150,131970,두산테스나,85.3,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,86300.0,83585.0,-20.47,3.25,15.31,-3.14,2026-09-18,2026-09-18,0,N,1.14,5.89,-70.8,27.5,13.7,69.4,-7079880750,2753531700,1368682450,6943236450
KOSPI200,006260,LS,84.6,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,324000.0,313116.67,-10.22,3.48,6.8,-1.82,2026-09-18,2026-09-18,0,N,0.82,5.19,-87.1,77.3,-53.1,53.1,-8710133250,7731531250,-5307497000,5310554250
KOSDAQ150,240810,원익IPS,83.9,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,121500.0,115295.0,-6.4,5.38,11.27,0.0,2026-09-16,2026-09-16,2,Y,0.99,10.96,393.4,10.7,85.4,12.9,39336974050,1065082850,8541851650,1285984300
KOSDAQ150,099320,쎄트렉아이,83.7,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,78900.0,76040.0,-16.18,3.76,9.42,-0.13,2026-09-17,2026-09-17,1,N,1.39,11.76,-14.2,-0.9,-21.0,1.9,-1424352000,-87544550,-2100598300,190889100
KOSDAQ150,084370,유진테크,82.9,신규 돌파 유지,,,137400.0,136443.33,-4.97,0.7,6.41,-5.37,2026-09-16,2026-09-16,2,Y,0.81,6.68,36.4,-30.0,6.4,-31.8,3644107900,-3004810900,639360700,-3180330750
KOSDAQ150,067310,하나마이크론,82.8,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,38550.0,36455.83,-8.83,5.74,14.13,0.0,2026-09-17,2026-09-17,1,N,1.05,17.35,190.1,38.6,110.0,79.3,19010654475,3855438525,10996617425,7932631875
KOSDAQ150,033100,제룡전기,82.0,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,48000.0,46010.83,-4.93,4.32,4.8,0.0,2026-09-16,2026-09-16,2,Y,0.82,6.08,28.6,-5.5,20.2,-5.1,2856880550,-549939800,2020214525,-510789475
KOSDAQ150,060370,LS마린솔루션,80,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,33650.0,29691.67,1.93,13.33,2.66,0.0,,,,Y,1.75,6.49,38.5,1.7,48.3,-4.1,3848102075,172847150,4832678725,-408911450
KOSDAQ150,121600,나노신소재,80,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,53200.0,46656.67,-6.82,14.02,4.16,0.0,,,,Y,1.46,10.72,3.8,46.3,-17.4,38.5,375451850,4632539025,-1738752500,3854124300
KOSPI200,443060,HD현대마린솔루션,80,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,244000.0,207576.67,-1.47,17.55,4.51,-1.21,,,,Y,1.21,4.27,34.1,3.3,17.5,15.1,3407693250,333812000,1748290750,1511905250
KOSDAQ150,053800,안랩,80,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,67300.0,56611.67,0.8,18.88,5.82,0.0,,,,Y,2.7,9.79,61.1,53.6,56.4,8.0,6110970400,5364149200,5644529400,804941050
KOSDAQ150,125490,한라캐스트,80,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,11930.0,9374.17,-4.9,27.26,3.24,0.0,,,,Y,2.05,17.54,36.8,4.6,0.0,2.5,3684556450,464500035,2944155,250658290
KOSDAQ150,030530,원익홀딩스,80,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,26300.0,19493.0,-7.4,34.92,0.8,0.0,,,,Y,1.35,23.19,34.6,20.9,12.4,4.3,3464358800,2086824125,1237832525,433599925
KOSDAQ150,036540,SFA반도체,80,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,8990.0,5815.17,-4.02,54.6,2.69,0.0,,,,Y,2.31,20.51,348.9,86.5,79.3,1.6,34892219380,8649603325,7934885630,164218695
KOSDAQ150,090360,로보스타,79.1,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,78700.0,74738.33,-12.68,5.3,-2.13,-2.84,2026-09-15,2026-09-15,3,Y,0.88,5.92,60.4,-8.4,26.4,-12.5,6039796800,-835417900,2637888400,-1246242800
KOSPI200,018260,삼성에스디에스,78.6,돌파 후 눌림목,,건강한 눌림,220000.0,215431.67,-2.45,2.12,-1.45,-9.28,,,,Y,0.68,2.09,83.0,4.7,67.7,-22.4,8296624500,468208750,6772466250,-2242334750
KOSPI200,042700,한미반도체,76.4,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,235000.0,221286.67,-9.53,6.2,5.58,-7.11,,,,Y,0.74,3.98,268.6,-351.9,333.7,131.4,26861504000,-35189760500,33368950750,13141166000
KOSPI200,011790,SKC,76.3,신규 돌파,,,87600.0,87395.0,-15.16,0.23,1.68,-4.89,2026-09-18,2026-09-18,0,N,0.72,2.22,-56.4,30.6,-21.7,18.1,-5640798450,3064037200,-2173551900,1805725150
KOSDAQ150,039200,오스코텍,76.3,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,37050.0,34333.33,-3.88,7.91,7.4,-0.13,2026-09-15,2026-09-15,3,Y,0.91,8.33,1.3,29.5,5.8,18.3,130016575,2946469050,579852200,1828741825
KOSPI200,005490,POSCO홀딩스,75.6,돌파 후 눌림목,,추가 확인,325500.0,320808.33,-4.58,1.46,-1.92,-3.98,2026-09-15,2026-09-15,3,Y,0.83,1.24,-147.4,259.0,-135.5,15.8,-14740290750,25904282750,-13550048250,1584129250
KOSPI200,001440,대한전선,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,31650.0,28710.83,-11.99,10.24,12.84,0.0,2026-09-18,2026-09-18,0,N,1.48,12.63,147.8,-18.8,279.6,8.0,14784796300,-1876159300,27955639700,797645575
KOSPI200,028050,삼성E&A,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,52100.0,46602.5,-0.41,11.8,1.55,0.0,,,,Y,1.33,3.78,-183.3,641.8,-85.3,431.6,-18330774325,64181438850,-8526593350,43161319900
KOSDAQ150,358570,지아이이노베이션,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,9450.0,8353.5,-14.78,13.13,4.49,0.0,2026-09-15,2026-09-15,3,Y,1.08,14.13,8.7,8.9,2.2,-0.7,874719175,889557775,219641495,-70880930
KOSPI200,272210,한화시스템,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,79900.0,70611.67,-9.95,13.15,14.33,0.0,2026-09-14,2026-09-17,1,N,2.09,9.0,-153.9,429.6,28.3,332.0,-15393217700,42964300200,2831451800,33200548000
KOSDAQ150,096530,씨젠,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,33900.0,29930.83,3.76,13.26,5.21,0.0,,,,Y,0.67,6.27,69.5,37.1,37.2,17.7,6946236875,3708345375,3719481775,1767949350
KOSDAQ150,171090,선익시스템,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,71000.0,62458.33,-2.68,13.68,0.45,-0.84,,,,Y,0.87,6.93,12.6,9.6,4.4,8.8,1262983150,962712850,439875000,877189100
KOSDAQ150,417200,LS머트리얼즈,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,13730.0,11983.33,-15.07,14.58,12.03,0.0,2026-09-15,2026-09-15,3,Y,2.73,22.48,-151.5,57.6,-63.9,27.6,-15150392275,5757099830,-6389960240,2760232900
KOSPI200,000150,두산,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,1449000.0,1252666.67,-11.01,15.67,12.53,0.0,2026-09-15,2026-09-15,3,Y,1.49,16.67,-2324.9,927.2,-1683.7,724.7,-232485446000,92718047000,-168374434000,72471305000
KOSDAQ150,039030,이오테크닉스,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,452500.0,384083.33,-4.58,17.81,0.77,-3.72,,,,Y,0.74,6.35,26.4,4.5,3.9,-61.3,2643454250,452338000,390908750,-6134392500
KOSPI200,001430,세아베스틸지주,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,45150.0,37879.17,-3.93,19.19,2.11,-1.74,,,,Y,1.54,10.39,-41.7,71.7,-33.8,30.1,-4172882025,7172283250,-3384503050,3014019550
KOSPI200,000990,DB하이텍,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,125900.0,104860.0,-17.11,20.06,7.61,-0.24,2026-09-14,2026-09-14,4,Y,1.54,12.61,-1005.5,405.7,-275.3,-17.7,-100550501800,40574614047,-27526306000,-1772242163
KOSDAQ150,403870,HPSP,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,53700.0,44591.67,-3.16,20.43,1.67,-4.11,,,,Y,0.53,5.5,58.1,78.9,11.5,18.3,5805763850,7893198800,1154654250,1834317500
KOSDAQ150,218410,RFHIC,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,61300.0,49964.17,-17.09,22.69,24.03,0.0,2026-09-16,2026-09-16,2,Y,1.74,26.26,-159.6,173.3,-43.1,127.0,-15956536725,17331360600,-4309415750,12695777650
KOSDAQ150,056190,에스에프에이,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,28150.0,22907.83,-1.61,22.88,-3.8,-2.26,,,,Y,1.82,13.28,-18.3,50.2,-17.8,21.2,-1829512650,5018657775,-1777471600,2124133675
KOSDAQ150,032500,케이엠더블유,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,19650.0,15969.67,-21.42,23.05,20.81,0.0,2026-09-15,2026-09-15,3,Y,1.91,21.37,-21.3,8.8,-3.7,4.0,-2130527260,876311745,-368632130,399387995
KOSDAQ150,251970,펌텍코리아,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,61700.0,49706.67,17.62,24.13,3.47,-1.12,,,,Y,1.32,6.01,-110.2,147.0,-43.3,55.9,-11018131550,14697620700,-4333663600,5586191850
KOSPI200,375500,DL이앤씨,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,86800.0,69101.67,2.14,25.61,-4.44,-1.92,,,,Y,1.28,3.7,-112.6,339.0,-18.7,108.5,-11261408000,33903654900,-1866982000,10849533450
KOSDAQ150,295310,에이치브이엠,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,60400.0,47431.67,-22.74,27.34,16.02,-2.11,,,,Y,2.27,22.02,-81.1,71.5,-64.8,61.6,-8107527750,7145077150,-6476081750,6164338250
KOSDAQ150,043260,성호전자,75,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,26400.0,19142.67,-29.04,37.91,51.68,0.0,2026-09-17,2026-09-17,1,N,2.94,56.86,-32.1,71.3,-86.8,76.9,-3210576550,7129929350,-8683963875,7688674640
KOSDAQ150,065350,신성델타테크,74.7,신규 돌파 유지,,,30900.0,29877.5,-10.81,3.42,0.86,-1.9,2026-09-15,2026-09-15,3,Y,0.67,2.32,3.8,0.5,-5.7,-0.3,377233750,53483325,-569649250,-31832550
KOSPI200,004370,농심,73.5,돌파 후 눌림목,,추가 확인,392500.0,390516.67,4.96,0.51,-5.02,-5.88,,,,Y,0.96,-5.31,29.7,-15.5,6.5,-18.2,2965830250,-1548995750,654598000,-1820122750
KOSPI200,036460,한국가스공사,72.7,돌파 후 눌림목,,추가 확인,35650.0,34804.17,1.65,2.43,-3.21,-3.65,,,,Y,0.88,-2.86,0.4,4.8,-14.9,12.4,37694625,476023825,-1485094975,1244148150
KOSPI200,457190,이수스페셜티케미컬,72.3,신규 돌파 유지,,,65400.0,62744.17,-9.25,4.23,1.2,-3.96,2026-09-15,2026-09-15,3,Y,0.63,3.97,-12.8,8.5,-1.8,6.9,-1281312300,846802850,-184951600,685900500
KOSDAQ150,015750,성우하이텍,72.2,60일선 근접·재돌파 대기,,,5980.0,5925.17,-4.79,0.93,-0.03,-3.86,,,,Y,0.66,-0.33,4.7,0.2,2.8,-0.2,472362565,23770010,282414255,-15103705
KOSPI200,298040,효성중공업,72.2,신규 돌파,,,2888000.0,2842866.67,-7.88,1.59,6.98,-2.6,2026-09-17,2026-09-17,1,N,0.94,3.48,81.4,-136.0,367.6,100.1,8142490000,-13595998500,36756422000,10014424500
KOSDAQ150,078600,대주전자재료,71.9,신규 돌파 유지,,,88000.0,84318.33,-12.53,4.37,2.57,0.0,2026-09-15,2026-09-15,3,Y,0.66,7.45,-8.2,11.4,-0.2,-14.2,-821825600,1136499100,-18714050,-1424058150
